,case_number,year,type,country,age,species_,date,mes,fatal,sexo
1033,1986.10.05,1986,Unprovoked,south africa,32,1.6 m shark,05-Oct-1986,Oct,n,M
1034,1986.08.10,1986,Invalid,south africa,35,Invalid,10-Aug-1986,Aug,,M
1035,1986.07.00.a,1986,Unprovoked,south africa,26,1.2 m [4'] dusky shark,Jul-1986,Jul,n,M
1036,1986.03.15,1986,Unprovoked,south africa,26,>1 m shark,15-Mar-1986,Mar,n,M
1037,1986.02.18,1986,Unprovoked,south africa,21,>2.4 m [8'] white shark,18-Feb-1986,Feb,n,M
1038,1986.02.07,1986,Unprovoked,south africa,46,Raggedtooth shark,07-Feb-1986,Feb,n,M
1039,1986.02.06,1986,Unprovoked,south africa,29,"Raggedtooth shark, 2 m [6.75'] ",06-Feb-1986,Feb,n,M
1040,1986.02.01,1986,Unprovoked,australia,29,"Bronze whaler shark, 3.5 m ",01-Feb-1986,Feb,n,M
1041,1986.01.12,1986,Unprovoked,usa,22,Blacktip shark,12-Jan-1986,Jan,n,M
1042,1986.00.00,1986,Unprovoked,usa,16,1.5 m [5'] shark,1986,,n,M
1043,1985.10.24,1985,Unprovoked,south africa,22,2.5 m [8.25'] white shark,24-Oct-1985,Oct,n,M
1044,1985.10.22,1985,Unprovoked,usa,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,22-Oct-1985,Oct,n,M
1045,1985.09.05,1985,Invalid,usa,17,Invalid,05-Sep-1985,Sep,,M
1046,1985.08.20,1985,Invalid,usa,11,Shark involvement not confirmed,20-Aug-1985,Aug,,M
1047,1985.08.17,1985,Invalid,usa,67,Shark involvement prior to death not confirmed,17-Aug-1985,Aug,,M
1048,1985.07.25.b,1985,Unprovoked,usa,13,Possibly a small hammerhead shark,25-Jul-1985,Jul,n,F
1049,1985.07.00,1985,Unprovoked,italy,13,"3 m to 3.6 m  [10' to 11'9""] white shark",Mid Jul-1985 or mid Jul-1986,MidJulJul,n,M
1050,1985.03.03,1985,Unprovoked,australia,33,6 m [20'] white shark,03-Mar-1985,Mar,y,F
1051,1985.02.18,1985,Unprovoked,usa,29,6 m [20'] white shark,18-Feb-1985,Feb,n,M
1052,1985.01.27,1985,Unprovoked,south africa,15,Raggedtooth shark,27-Jan-1985,Jan,n,M
1053,1985.01.17,1985,Unprovoked,south africa,18,"3.5 m white shark, tooth fragments recovered",17-Jan-1985,Jan,n,M
1054,1985.01.04,1985,Unprovoked,south africa,34,3.5 m [11.5'] white shark,04-Jan-1985,Jan,n,M
1055,1985.01.00.a,1985,Provoked,south africa,20,1.5 m [5'] dusky shark,Jan-1985,Jan,n,M
1056,1984.11.30,1984,Unprovoked,australia,16,"Tiger shark, 4 m ",30-Nov-1984,Nov,y,M
1057,1984.10.21.b,1984,Invalid,usa,22,Shark involvement prior to death was not confirmed,21-Oct-1984,Oct,,M
1058,1984.10.21,1984,Unprovoked,usa,23,1.5 m [5'] shark,21-Oct-1984,Oct,n,F
1059,1984.10.17,1984,Invalid,usa,77,Shark involvement not confirmed; officials considered barracua,17-Oct-1984,Oct,,F
1060,1984.10.14.a,1984,Unprovoked,usa,15,1.2 m [4'] blacktip shark,14-Oct-1984,Oct,n,M
1061,1984.09.30.b,1984,Unprovoked,usa,25,3 m to 5 m [10' to 16.5'] white shark,30-Sep-1984,Sep,n,M
1062,1984.09.22.a,1984,Unprovoked,usa,16,Hammerhead shark?+O2356,22-Sep-1984,Sep,n,M
1063,1984.09.15,1984,Unprovoked,usa,28,4.5 m to 5 m white shark,15-Sep-1984,Sep,y,M
1064,1984.07.24.a,1984,Unprovoked,usa,18,1.2 m [4'] shark,24-Jul-1984,Jul,n,F
1065,1984.07.22,1984,Invalid,south africa,21,Shark involvement prior to death was not confirmed,22-Jul-1984,Jul,,M
1066,1984.06.15,1984,Unprovoked,south africa,27,2.4 m [8'] white shark,15-Jun-1984,Jun,n,M
1067,1984.06.03.b,1984,Unprovoked,usa,13,1.2 m to 1.5 m [4' to 5'] hammerhead shark,03-Jun-1984,Jun,n,F
1068,1984.02.17,1984,Provoked,south africa,33, 1.5 m [5'] dusky shark,17-Feb-1984,Feb,n,M
1069,1984.01.05,1984,Unprovoked,south africa,14,"Raggedtooth shark, 1 m ",05-Jan-1984,Jan,n,M
1070,1983.12.21,1983,Unprovoked,south africa,47,"Raggedtooth shark, >1 m ",21-Dec-1983,Dec,n,M
1071,1983.08.20.a,1983,Unprovoked,south africa,29,5 m [16.5'] white shark,20-Aug-1983,Aug,n,M
1072,1983.08.15,1983,Unprovoked,usa,14,Sand shark,15-Aug-1983,Aug,n,F
1073,1983.08.13.a,1983,Unprovoked,usa,22,6' to 8' bull shark,13-Aug-1983,Aug,n,F
1074,1983.07.26,1983,Sea Disaster,australia,21,"Tiger shark, 5 m [16.5']",26-Jul-1983,Jul,y,F
1075,1983.07.25.b,1983,Sea Disaster,australia,24,"Tiger shark, 5 m [16.5']",25-Jul-1983,Jul,y,M
1076,1983.07.25.a,1983,Sea Disaster,australia,28,"Tiger shark, 5 m [16.5']",25-Jul-1983,Jul,n,M
1077,1983.07.12.b,1983,Unprovoked,usa,39,3.5' hammerhead shark,12-Jul-1983,Jul,n,F
1078,1983.05.31,1983,Unprovoked,usa,21,6' shark,31-May-1983,May,n,M
1079,1983.04.12,1983,Unprovoked,south africa,27,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",12-Apr-1983,Apr,n,M
1080,1983.03.30.a,1983,Unprovoked,south africa,17,1.8 m [6'] Zambezi shark,30-Mar-1983,Mar,n,M
1081,1983.02.20,1983,Unprovoked,south africa,16,3 m [10'] shark,20-Feb-1983,Feb,n,M
1082,1983.01.08,1983,Unprovoked,south africa,32,White shark,08-Jan-1983,Jan,n,M
1083,1982.10.13,1982,Unprovoked,usa,26,1.5 m [5'] shark,13-Oct-1982,Oct,n,M
1084,1982.09.30.a,1982,Unprovoked,south africa,16,"Believed to involve a 2.8 m [9'3""] white shark",30-Sep-1982,Sep,n,M
1085,1982.09.27,1982,Unprovoked,usa,20,1.5 m [5'] shark,27-Sep-1982,Sep,n,M
1086,1982.09.25,1982,Unprovoked,usa,36,White shark,25-Sep-1982,Sep,n,M
1087,1982.09.19,1982,Unprovoked,usa,28,5 m to 6 m [16.5' to 20'] white shark,19-Sep-1982,Sep,n,M
1088,1982.08.29.b,1982,Invalid,usa,17,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,29-Aug-1982,Aug,,M
1089,1982.07.31,1982,Invalid,south africa,20,Invalid,31-Jul-1982,Jul,,M
1090,1982.07.24.b,1982,Unprovoked,south africa,38,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",24-Jul-1982,Jul,n,M
1091,1982.07.24.a,1982,Unprovoked,usa,26,4.5 m to 5.5 m [14.7' to 18'] white shark,24-Jul-1982,Jul,n,M
1092,1982.07.19,1982,Unprovoked,usa,17,0.9 m to 1.2 m [3' to 4'] shark,19-Jul-1982,Jul,n,M
1093,1982.06.29,1982,Unprovoked,south africa,27,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",29-Jun-1982,Jun,y,M
1094,1982.06.26.b,1982,Unprovoked,usa,20,5' shark,26-Jun-1982,Jun,n,M
1095,1982.01.29,1982,Unprovoked,south africa,20,Raggedtooth shark,29-Jan-1982,Jan,n,M
1096,1981.12.19,1981,Unprovoked,usa,24,7 m [23'] white shark,19-Dec-1981,Dec,y,M
1097,1981.10.19.a,1981,Unprovoked,usa,19,1.8 m to 2.4 m [6' to 8'] shark,19-Oct-1981,Oct,n,M
1098,1981.09.15,1981,Unprovoked,usa,26,Said to involve a tiger shark or a hammerhead shark,15-Sep-1981,Sep,y,M
1099,1981.08.07,1981,Unprovoked,bahamas,53,Mako shark (tooth fragments recovered),07-Aug-1981,Aug,n,M
1100,1981.07.18,1981,Unprovoked,south africa,32,Possibly a  1.8 m [6'] Zambezi shark,18-Jul-1981,Jul,n,M
1101,1981.05.23,1981,Unprovoked,south korea,27,6 m  white shark,23-May-1981,May,y,F
1102,1981.05.20,1981,Unprovoked,south africa,27,Raggedtooth shark,20-May-1981,May,n,M
1103,1981.05.10,1981,Unprovoked,south africa,19,"Raggedtooth shark, 2.5 m [8.25'] ",10-May-1981,May,n,M
1104,1981.05.05,1981,Unprovoked,south africa,24,"Tiger shark, 2.1 m [7']",05-May-1981,May,n,M
1105,1981.03.25,1981,Unprovoked,usa,19,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",25-Mar-1981,Mar,n,M
1106,1981.03.24,1981,Unprovoked,usa,24,C. maculpinnis or C. limbatus,24-Mar-1981,Mar,n,M
1107,1981.02.19,1981,Unprovoked,south africa,30,Juvenile dusky or blacktip shark,19-Feb-1981,Feb,n,M
1108,1981.02.02,1981,Unprovoked,usa,15,1.8 m to 2.4 m [6' to 8'] hammerhead shark,02-Feb-1981,Feb,n,M
1109,1981.00.00.b,1981,Unprovoked,australia,27,"Tiger shark, 2.5 m ",1981,,n,M
1110,1980.12.30,1980,Unprovoked,south africa,25,3.5 m [11.5'] shark,12-30-1980,,n,M
1111,1980.11.24,1980,Unprovoked,reunion,22,1.8 m [6'] white shark,24-Nov-1980,Nov,n,M
1112,1980.10.27,1980,Unprovoked,usa,29,4 m to 5 m [13' to 16.5'] white shark,27-Oct-1980,Oct,n,M
1113,1980.10.17,1980,Unprovoked,usa,19,4 m to 5 m [13' to 16.5'] white shark,17-Oct-1980,Oct,n,M
1114,1980.07.23,1980,Unprovoked,usa,22,4' to 8' shark,23-Jul-1980,Jul,n,F
1115,1980.05.15,1980,Unprovoked,south africa,22,1.8 m [6'] shark,15-May-1980,May,n,M
1116,1980.04.00,1980,Unprovoked,mexico,13,Tiger shark,Apr-1980,Apr,n,F
1117,1980.01.31,1980,Unprovoked,south africa,24,"2.8 m [9'3""] white shark",31-Jan-1980,Jan,n,M
1118,1980.01.15,1980,Provoked,south africa,29,"2 m [6'9""] Zambesi shark",15-Jan-1980,Jan,n,M
1119,1980.01.10,1980,Unprovoked,south africa,25,"Raggedtooth shark, 2 m [6'9""] ",10-Jan-1980,Jan,n,M
1120,1980.00.00.b,1980,Invalid,south africa,20,Invalid,1980,,,M
1121,1979.11.27,1979,Unprovoked,usa,20,"White shark, 4 m [13'] ",27-Nov-1979,Nov,n,M
1122,1979.05.05,1979,Provoked,south africa,25,"White shark, 2.5 m [8.25']  ",05 May 1979,May,n,M
1123,1979.03.24,1979,Unprovoked,usa,27,Blacktip or spinner shark,24-Mar-1979,Mar,n,M
1124,1979.02.21,1979,Unprovoked,south africa,19,1.5 m to 2 m [5' to 6.75'] shark,21-Feb-1979,Feb,n,M
1125,1978.12.12,1978,Unprovoked,south africa,23,"White shark, 2.3 m [7.5'], tooth fragment recovered",12-Dec-1978,Dec,y,M
1126,1978.09.27,1978,Unprovoked,south africa,27,"White shark, 3.7 m [12'] ",27-Sep-1978,Sep,n,M
1127,1978.01.17,1978,Unprovoked,south africa,17,Thought to involve a blacktip shark,07-Jan-1978,Jan,n,M
1128,1977.12.19.a,1977,Unprovoked,south africa,18,"Tiger shark, 3 m [10']",19-Dec-1977,Dec,n,M
1129,1977.10.30,1977,Unprovoked,south africa,25,"White shark, 5 m [16.5'] ",30-Oct-1977,Oct,n,M
1130,1977.08.31,1977,Unprovoked,australia,17,White shark,31-Aug-1977,Aug,n,M
1131,1977.08.14,1977,Unprovoked,usa,20,"White shark, 5.5 m to 6 m [18' to 20']  ",14-Aug-1977,Aug,n,M
1132,1977.06.26,1977,Provoked,usa,27,"Bull shark, 8",26-Jun-1977,Jun,n,M
1133,1976.12.18,1976,Unprovoked,usa,29,"White shark, 5.5 m [18'] ",18-Dec-1976,Dec,n,M
1134,1976.11.27,1976,Unprovoked,south africa,19,"White shark, 3 m [10'] k",27-Nov-1976,Nov,n,M
1135,1976.11.25,1976,Unprovoked,usa,19,2.1 m [7'] lemon shark or bull shark,25-Nov-1976,Nov,n,M
1136,1976.10.18,1976,Unprovoked,usa,25,"White shark, 3 m to 4 m [10' to 13'] ",18-Oct-1976,Oct,n,M
1137,1976.10.06,1976,Unprovoked,south africa,20,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",06-Oct-1976,Oct,n,M
1138,1976.09.06,1976,Unprovoked,usa,15,"Tiger shark, 6' ",06-Sep-1976,Sep,n,M
1139,1976.08.24,1976,Unprovoked,usa,19,"White shark, 4.5 m ",24-Aug-1976,Aug,n,M
1140,1976.06.23,1976,Unprovoked,usa,17,12' to 14' shark,23-Jun-1976,Jun,n,M
1141,1975.12.06,1975,Unprovoked,usa,27,White shark,06-Dec-1975,Dec,n,M
1142,1975.11.19.a,1975,Unprovoked,south africa,33,Juvenile dusky shark,19-Nov-1975,Nov,n,M
1143,1975.08.17,1975,Unprovoked,south africa,19,"White shark, 2.4 m [8']",17-Aug-1975,Aug,n,M
1144,1975.08.12,1975,Unprovoked,usa,20,1.5 m [5'] shark,12-Aug-1975,Aug,n,M
1145,1975.08.09,1975,Unprovoked,usa,44,White shark,09-Aug-1975,Aug,n,M
1146,1975.07.30.a,1975,Unprovoked,australia,37,White shark,30-Jul-1975,Jul,y,M
1147,1975.07.23,1975,Unprovoked,usa,23,"White shark, 5.8 m [19'] ",23-Jul-1975,Jul,n,M
1148,1975.07.19,1975,Unprovoked,usa,34,"White shark, 5m to 6m",19-Jul-1975,Jul,n,M
1149,1975.07.15,1975,Unprovoked,usa,14,1.2 m [4'] shark,15-Jul-1975,Jul,n,F
1150,1975.06.23.b,1975,Unprovoked,usa,18,4' shark,23-Jun-1975,Jun,n,M
1151,1975.02.23,1975,Unprovoked,south africa,16,1.5 m [5'] shark,23-Feb-1975,Feb,n,M
1152,1975.02.10,1975,Unprovoked,australia,12,"White shark, 3 m [10'] ",10-Feb-1975,Feb,y,M
1153,1974.09.28,1974,Unprovoked,usa,17,"White shark, 5.5 m to 6 m [18' to 20'] ",28-Sep-1974,Sep,n,M
1154,1974.09.14,1974,Unprovoked,usa,29,"White shark, 4 m to 5 m ",14-Sep-1974,Sep,n,M
1155,1974.09.07,1974,Unprovoked,israel,20,"Shortfin mako shark, 2.3 m [7.5'] ",07-Sep-1974,Sep,n,F
1156,1974.09.02.b,1974,Unprovoked,usa,41,"White shark, 5 m to 6 m [16.5 to 20'] ",02-Sep-1974,Sep,n,M
1157,1974.09.02.a,1974,Unprovoked,usa,48,"White shark, 5 m to 6 m [16.5 to 20'] ",02-Sep-1974,Sep,n,M
1158,1974.09.00,1974,Unprovoked,usa,24,"White shark, 4.5 m ",Sep-1974,Sep,n,M
1159,1974.05.26,1974,Unprovoked,usa,45,"White shark, 5 m [16.5']",26-May-1974,May,n,M
1160,1974.04.20,1974,Unprovoked,south africa,22,"Raggedtooth shark, 1.5 m [5'] ",20-Apr-1974,Apr,n,M
1161,1974.04.04,1974,Unprovoked,south africa,17,Juvenile dusky shark,04-Apr-1974,Apr,n,M
1162,1974.03.21,1974,Unprovoked,south africa,21,1.8 m [6'] shark,21-Mar-1974,Mar,n,M
1163,1974.01.07.c,1974,Unprovoked,south africa,33,2 m to 2.5 m [6.75'  to 8.25'] shark,07-Jan-1974,Jan,n,M
1164,1973.09.14,1973,Unprovoked,bahamas,11,7' to 8' bull shark,14-Sep-1973,Sep,n,M
1165,1973.09.09,1973,Unprovoked,mexico,37,White shark,09-Sep-1973,Sep,y,M
1166,1973.03.00,1973,Unprovoked,south africa,26,"2 m shark, possibly a dusky or blacktip shark",Mar-1973,Mar,n,M
1167,1972.12.26,1972,Unprovoked,mozambique,25,2 m to 3 m shark,26-Dec-1972,Dec,n,M
1168,1972.06.10,1972,Unprovoked,usa,22,4.5' shark,10-Jun-1972,Jun,n,M
1169,1972.05.28,1972,Unprovoked,usa,32,"White shark, 4.4 m to 5 m [14.5' to 16.5'] ",28-May-1972,May,n,M
1170,1972.02.20,1972,Unprovoked,australia,18,7' shark,20-Feb-1972,Feb,n,M
1171,1972.01.01.b,1972,Unprovoked,south africa,30,Zambesi shark,01-Jan-1971,Jan,n,F
1172,1972.01.01.a,1972,Unprovoked,mozambique,24,"White shark, 2.5 m [8.25'] ",01-Jan-1971,Jan,n,M
1173,1971.12.16,1971,Unprovoked,south africa,16,"White shark, 3 m [10']rk",16-Dec-1971,Dec,n,F
1174,1971.10.23,1971,Unprovoked,usa,18,5' to 6' shark,23-Oct-1971,Oct,n,M
1175,1971.10.14,1971,Unprovoked,south africa,25,1.5 m to 2 m shark,14-Oct-1971,Oct,n,M
1176,1971.10.02,1971,Unprovoked,usa,30,"White shark, 5 m to 6 m [16.5' to 20']  ",02-Oct-1971,Oct,n,M
1177,1971.09.07,1971,Unprovoked,croatia,34,White shark,07-Sep-1971,Sep,y,M
1178,1971.08.21,1971,Provoked,australia,26,"Grey nurse shark, 11'",21-Aug-1971,Aug,n,M
1179,1971.06.30,1971,Unprovoked,south africa,21,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board ",30-Jun-1971,Jun,n,M
1180,1971.04.11,1971,Unprovoked,south africa,>50,White shark according to tooth pattern and witnesses,11-Apr-1971,Apr,y,M
1181,1971.03.30,1971,Unprovoked,new zealand,16,"White shark, 4.6 m [15'] ",30-Mar-1971,Mar,n,M
1182,1970.09.28,1970,Unprovoked,micronesia,43,1.8 to 2 m C. albimarginatus,28-Sep-1970,Sep,n,M
1183,1970.06.15,1970,Provoked,south africa,25,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female ",15-Jun-1970,Jun,n,M
1184,1969.09.06,1969,Unprovoked,usa,53,"White shark, 4.3 m 4.9 m [14' to 16'] ",06-Sep-1969,Sep,n,M
1185,1969.08.01,1969,Unprovoked,usa,13,4' shark,02-Aug-1969,Aug,n,M
1186,1969.05.24,1969,Provoked,usa,23,Nurse shark,24-May-1969,May,n,M
1187,1969.03.09,1969,Unprovoked,usa,16,"White shark, identified by tooth fragments in surfboard",09-Mar-1969,Mar,n,M
1188,1969.02.17.R,1969,Provoked,australia,49,7-gill shark,Reported 17-Feb-1969,ReportedFeb,n,M
1189,1968.12.26,1968,Provoked,australia,27,"Grey nurse shark, 10' ",26-Dec-1968,Dec,n,M
1190,1968.12.25,1968,Unprovoked,new zealand,17,White shark,25-Dec-1968,Dec,n,M
1191,1968.09.15,1968,Unprovoked,new zealand,24,"White shark, 4.3 m [14'], (tooth fragment recovered)",15-Sep-1968,Sep,y,M
1192,1968.08.08,1968,Unprovoked,columbia,18,2 m shark,08-Aug-1968,Aug,n,M
1193,1968.07.27,1968,Unprovoked,usa,25,"White shark, 4 m [13'] ",27-Jul-1968,Jul,n,M
1194,1968.07.16,1968,Unprovoked,usa,33,4m [13'] shark,16-Jul-1968,Jul,n,M
1195,1968.04.29,1968,Invalid,usa,63,Shark involvement not confirmed,29-Apr-1968,Apr,,M
1196,1968.03.25,1968,Unprovoked,south africa,35,1.5 m to 1.8m [5' to 6'] shark,25-Mar-1968,Mar,n,M
1197,1968.03.00,1968,Invalid,usa,28,Invalid,Mar-1968,Mar,,M
1198,1968.02.04,1968,Unprovoked,australia,26,"Bronze whaler shark, 3 m [10'] ",04-Feb-1968,Feb,n,M
1199,1967.12.30,1967,Unprovoked,south africa,22,1.5 m to 1.8 m [5' to 6'] shark,30-Dec-1967,Dec,n,M
1200,1967.10.17,1967,Unprovoked,usa,19,small blacktip shark,17-Oct-1967,Oct,n,M
1201,1967.08.27,1967,Provoked,usa,24,5' blue shark,27-Aug-1967,Aug,n,M
1202,1967.08.19,1967,Unprovoked,australia,23,White shark,19-Aug-1967,Aug,y,M
1203,1967.08.10,1967,Invalid,australia,? & 19,Shark involvement prior to death was not confirmed,10-Aug-1967,Aug,,M
1204,1967.08.07,1967,Unprovoked,usa,15,"Nurse shark, 106 cm, 28-lb, male ",07-Aug-1967,Aug,n,M
1205,1967.08.00.b,1967,Unprovoked,bahamas,41,1.5 m to 1.8 m [5' to 6'] sandbar shark,Aug-1967,Aug,n,M
1206,1967.06.13,1967,Provoked,usa,26,"Nurse shark, 1 m ",13-Jun-1967,Jun,n,M
1207,1967.03.19,1967,Unprovoked,south africa,32,"White shark, 3 m [10'] ",19-Mar-1967,Mar,n,M
1208,1967.03.12,1967,Provoked,australia,36,Grey nurse shark,12-Mar-1967,Mar,n,M
1209,1967.03.09,1967,Unprovoked,new zealand,21,Thought to involve a white shark,09-Mar-1967,Mar,y,M
1210,1966.10.30,1966,Unprovoked,papua new guinea,13,3.7 m [12'] shark,30-Oct-1966,Oct,y,F
1211,1966.10.29,1966,Unprovoked,papua new guinea,8,3.7 m [12'] shark,19-Oct-1966,Oct,y,F
1212,1966.09.27,1966,Unprovoked,australia,32,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun ",27-Sep-1966,Sep,n,M
1213,1966.09.10,1966,Unprovoked,australia,43,"Mako shark, 1.9 m [6.5'] ",10-Sep-1966,Sep,n,M
1214,1966.08.21.b,1966,Unprovoked,new britain,13,A pack of 6 sharks,23-Aug-1966,Aug,y,F
1215,1966.08.21.a,1966,Unprovoked,new britain,9,A pack of 6 sharks,23-Aug-1966,Aug,y,F
1216,1966.08.00.b,1966,Invalid,usa,26,Invalid,Mid Aug-1966,MidAug,,M
1217,1966.08.00.a,1966,Unprovoked,usa,8,Spinner or blacktip sharks,Aug-1966,Aug,n,M
1218,1966.07.19,1966,Provoked,usa,34,4' shark,19-Jul-1966,Jul,n,M
1219,1966.07.03,1966,Invalid,usa,46,Invalid,03-Jul-1966,Jul,,M
1220,1966.06.22,1966,Provoked,usa,15,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",22-Jun-1966,Jun,n,M
1221,1966.06.11,1966,Provoked,usa,18,1.2 m [4'] hammerhead shark,11-Jun-1966,Jun,n,M
1222,1966.06.04,1966,Unprovoked,usa,18,a small shark,04-Jun-1966,Jun,n,M
1223,1966.05.16.b,1966,Invalid,usa,24,Invalid,16-May-1966,May,,M
1224,1966.02.27,1966,Unprovoked,australia,13,"White shark, 2.5 m [8.25'], an immature female, previously injured",27-Feb-1966,Feb,n,M
1225,1966.01.29,1966,Provoked,south africa,33,Copper shark,29-Jan-1966,Jan,n,M
1226,1966.01.22,1966,Unprovoked,usa,29,"White shark, 3 m [10'] ",22-Jan-1966,Jan,n,M
1227,1966.01.11,1966,Unprovoked,south africa,16,1.5 m to 1.8 m [5' to 6'] Zambesi shark,11-Jan-1966,Jan,n,M
1228,1966.01.09,1966,Unprovoked,south africa,15,"1.8 m to 2 m [6' to 6'9""] shark",09-Jan-1966,Jan,n,M
1229,1966.01.05,1966,Unprovoked,usa,35,Hammerhead shark,05-Jan-1966,Jan,n,M
1230,1966.00.00,1966,Invalid,usa,15,Shark involvement not confirmed,Summer of 1996,Summer,,F
1231,1965.11.03.a,1965,Unprovoked,australia,24,"Grey nurse shark, 2.4 m [8'] ",03-Nov-1965,Nov,n,M
1232,1965.04.25,1965,Invalid,usa,19,Invalid,25-Apr-1965,Apr,,M
1233,1965.04.10,1965,Unprovoked,usa,28,"White shark, 10' to 12' ",10-Apr-1965,Apr,n,M
1234,1965.04.04.b,1965,Unprovoked,palau,8,"Tiger shark, tooth fragment recovered",04-Apr-1965,Apr,n,M
1235,1965.04.04.a,1965,Unprovoked,usa,17,Blacktip or spinner shark,04-Apr-1965,Apr,n,M
1236,1965.03.14,1965,Unprovoked,usa,16,Mako shark,14-Mar-1965,Mar,n,M
1237,1965.02.14,1965,Unprovoked,south africa,25,"1.8 m [6'], 136-kg [300-lb] shark ",14-Feb-1965,Feb,n,M
1238,1965.02.04,1965,Unprovoked,usa,18,1.2 m [4'] shark,04-Feb-1965,Feb,n,M
1239,1965.01.23,1965,Unprovoked,south africa,22,"White shark, 3.7 m [12'] ",23-Jan-1965,Jan,n,M
1240,1964.12.25,1964,Unprovoked,south africa,19,Raggedtooth shark ,25-Dec-1964,Dec,n,M
1241,1964.12.09,1964,Unprovoked,papua new guinea,28,2.1 m [7'] shark,09-Dec-1964,Dec,n,M
1242,1964.11.29,1964,Unprovoked,australia,25,"White shark, 2.4 m [8'] ",29-Nov-1964,Nov,n,M
1243,1964.10.04,1964,Unprovoked,australia,19,"Grey nurse shark, 1.8 m [6']",04-Oct-1964,Oct,n,M
1244,1964.09.07,1964,Unprovoked,taiwan,20,1.8 m [6'] shark,07-Sep-1964,Sep,n,M
1245,1964.08.23,1964,Unprovoked,mexico,19,1.8 to 2.4 m [6' to 8'] shark,23-Aug-1964,Aug,n,M
1246,1964.08.22,1964,Invalid,usa,18,Invalid,22-Aug-1964,Aug,,M
1247,1964.08.08,1964,Unprovoked,usa,28,Hammerhead shark,08-Aug-1964,Aug,n,M
1248,1964.06.28,1964,Invalid,usa,29,Shark involvement prior to death was not confirmed,28-Jun-1964,Jun,,F
1249,1964.06.02,1964,Invalid,south africa,40,Shark involvement prior to death was not confirmed,02-Jun-1964,Jun,,M
1250,1964.05.08,1964,Unprovoked,fiji,35,Tiger shark,08-May-1964,May,y,M
1251,1964.03.05,1964,Unprovoked,usa,38,1.7 m [5.5'] shark,05-Mar-1964,Mar,n,M
1252,1964.02.10,1964,Unprovoked,new zealand,26,"White shark, 3 m [10'] ",10-Feb-1964,Feb,n,M
1253,1964.02.08,1964,Unprovoked,south africa,25,"White shark, 1.5 m [5'] k",08-Feb-1954,Feb,n,M
1254,1964.02.05.a,1964,Unprovoked,new zealand,19,"White shark, 3 m to 3.7 m [10' to 12'] ",05-Feb-1964,Feb,y,M
1255,1964.02.02,1964,Invalid,australia,23,Shark involvement prior to death was not confirmed,02-Feb-1964,Feb,,M
1256,1964.01.11,1964,Unprovoked,usa,21,White shark (tooth fragment recovered),11-Jan-1964,Jan,n,M
1257,1963.12.29,1963,Unprovoked,south africa,20,"Zambesi shark, 1.8 m [6'] ",29-Dec-1963,Dec,n,F
1258,1963.12.26.b,1963,Unprovoked,south africa,24,1.8 m [6']  shark,26-Dec-1963,Dec,n,M
1259,1963.12.22.a,1963,Provoked,south africa,13,"Dusky shark, 1 m ",22-Dec-1963,Dec,n,M
1260,1963.12.20.a,1963,Unprovoked,south africa,15,300- to 400-lb Zambesi shark,20-Dec-1963,Dec,y,M
1261,1963.12.08,1963,Unprovoked,australia,23,White shark,08-Dec-1963,Dec,n,M
1262,1963.11.30.b,1963,Unprovoked,new zealand,20,Possibly a broadnose 7-gill shark,30-Nov-1963 ,Nov,n,M
1263,1963.11.30.a,1963,Provoked,papua new guinea,18,Tiger shark,30-Nov-1963,Nov,n,F
1264,1963.11.28,1963,Unprovoked,fiji,21,>1.2 m [4'] tiger shark,28-Nov-1963,Nov,n,F
1265,1963.11.04,1963,Unprovoked,palau,35,Dooley believed his Injury was caused by stingray (Dasyatidae family),04-Nov-1963,Nov,n,M
1266,1963.10.16,1963,Unprovoked,usa,28,500-lb shark,16-Oct-1963,Oct,n,M
1267,1963.09.22,1963,Unprovoked,solomon islands,30,5.5 m [18'] shark,22-Sep-1963,Sep,y,M
1268,1963.09.13,1963,Provoked,australia,18,1.5 m [5'] shark,13-Sep-1963,Sep,n,M
1269,1963.09.10,1963,Provoked,usa,16,"Nurse shark, 1.2 m [4'] ",10-Sep-1963,Sep,n,M
1270,1963.07.28,1963,Unprovoked,federated states of micronesia,26,Tiger shark,28-Jul-1963,Jul,n,M
1271,1963.06.01.b,1963,Unprovoked,greece,42,"White shark, 3 m ",01-Jun-1963,Jun,y,F
1272,1963.06.01.a,1963,Provoked,papua new guinea,30,1.8 m [6'] shark,01-Jun-1963,Jun,n,M
1273,1963.04.20,1963,Unprovoked,usa,25,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis",20-Apr-1963,Apr,y,M
